Date,Open,High,Low,Close,Adj Close,Volume
2020-06-01,90.559998,95.800003,90.209999,94.839996,94.839996,12028839
2020-06-02,96.589996,96.800003,90.029999,92.250000,92.250000,12883326
2020-06-03,99.980003,103.800003,95.599998,98.099998,98.099998,21051536
2020-06-04,94.230003,98.489998,91.830002,95.980003,95.980003,16371219
2020-06-05,92.730003,95.980003,88.870003,93.930000,93.930000,9600631
2020-06-08,93.870003,97.500000,93.620003,95.430000,95.430000,7482362
2020-06-09,96.000000,96.879997,93.620003,93.900002,93.900002,4351106
2020-06-10,95.000000,97.739998,94.330002,97.220001,97.220001,5816775
2020-06-11,94.849998,100.120003,94.220001,95.040001,95.040001,8323151
2020-06-12,97.986504,97.986504,91.050003,93.120003,93.120003,6452416
2020-06-15,92.650002,100.000000,91.500000,99.019997,99.019997,9025336
2020-06-16,100.000000,101.680000,94.690002,101.040001,101.040001,9814259
2020-06-17,101.639999,101.742699,97.769997,98.690002,98.690002,7637680
2020-06-18,98.180000,101.870003,97.860001,101.610001,101.610001,9565135
2020-06-19,103.000000,104.889999,100.639999,101.080002,101.080002,10744141
2020-06-22,101.339996,105.559998,100.260002,105.019997,105.019997,8418191
2020-06-23,105.800003,107.300003,103.150002,104.269997,104.269997,8600862
2020-06-24,103.830002,106.095001,100.500000,103.699997,103.699997,4958050
2020-06-25,103.800003,108.335701,103.639999,105.709999,105.709999,6112378
2020-06-26,104.000000,104.000000,97.519997,98.790001,98.790001,17438536
2020-06-29,99.769997,99.769997,94.180000,98.099998,98.099998,6304608
2020-06-30,98.440002,101.379997,97.330002,100.290001,100.290001,5056172
2020-07-01,100.000000,103.644997,99.250000,102.949997,102.949997,5355583
2020-07-02,103.650002,107.699997,102.300003,107.269997,107.269997,9060979
2020-07-06,109.338997,109.680000,104.714996,106.389999,106.389999,7913074
2020-07-07,107.000000,108.669998,105.209999,106.419998,106.419998,4591507
2020-07-08,107.370003,114.690002,107.099998,114.550003,114.550003,6953530
2020-07-09,115.510002,118.379997,113.110001,117.459999,117.459999,7064519
2020-07-10,117.570000,118.250000,115.410004,116.650002,116.650002,3437219
2020-07-13,118.019997,118.579903,105.720001,106.209999,106.209999,7228984
2020-07-14,107.139999,109.349998,99.120003,105.610001,105.610001,9077257
2020-07-15,105.580002,106.022598,100.589996,103.150002,103.150002,4948475
2020-07-16,102.099998,102.815002,98.610001,101.059998,101.059998,5095948
2020-07-17,101.404701,102.869904,99.000000,101.430000,101.430000,5725541
2020-07-20,101.889999,106.946602,101.660004,106.720001,106.720001,5959176
2020-07-21,108.440002,108.470001,104.440002,106.599998,106.599998,3628874
2020-07-22,106.599998,107.176003,102.599998,103.709999,103.709999,3863734
2020-07-23,104.559998,105.659897,99.599998,101.459999,101.459999,3726716
2020-07-24,99.099998,101.669998,97.059998,100.029999,100.029999,4076704
2020-07-27,101.320000,104.349998,100.169998,103.599998,103.599998,4537546
2020-07-28,104.400002,109.279999,103.821404,105.730003,105.730003,4704482
2020-07-29,107.610001,113.830002,107.401398,112.919998,112.919998,5178785
2020-07-30,111.000000,112.800003,108.910004,111.910004,111.910004,2895945
2020-07-31,112.910004,113.839996,109.410004,113.199997,113.199997,2813279
2020-08-03,114.480003,116.180000,112.250000,115.480003,115.480003,4292455
2020-08-04,115.559998,116.000000,112.779999,114.959999,114.959999,2667534
2020-08-05,114.970001,116.180000,113.980003,114.750000,114.750000,4431975
